,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,continent
230,33546,223.233.83.56,,24560.0,,223.233.80.0/22,,False,True,1,1707513453,1504284900.0,179477539,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-incorrectly', 'system-ipv4-capable', 'system-v3', 'system-ipv4-rfc1918', 'system-ipv4-stable-90d', 'system-ipv4-stable-1d', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home'}",IN,19.9705,73.7595,20240209,https://atlas.ripe.net/api/v2/probes/33546/,Connected,AS
231,34665,,,9824.0,9824.0,125.14.128.0/17,2405:1200:c000::/34,False,False,1,1707439474,1523977253.0,170316716,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'ipv4', 'system-ipv4-stable-30d', 'home', 'system-v3', 'system-ipv4-rfc1918', 'ipv6', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d', 'system-ipv6-works', 'nat', 'system-ipv4-works', 'fibre', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d'}",JP,35.7095,139.6605,20240209,https://atlas.ripe.net/api/v2/probes/34665/,Connected,AS
232,1001463,,,133481.0,,184.22.32.0/22,,False,False,1,1707083738,1606839077.0,100454200,"{'fibre', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-rfc1918', 'system-doesnt-resolve-aaaa', 'system-ipv4-stable-1d', 'home', 'native-ipv6', 'ipv4', 'cgn', 'ipv6', 'nat', 'dual-stack', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-doesnt-resolve-a', 'system-software', 'ftth'}",TH,13.8685,100.4705,20240209,https://atlas.ripe.net/api/v2/probes/1001463/,Connected,AS
233,28545,,,9121.0,,85.106.0.0/17,,False,False,1,1706275003,1609177293.0,90424317,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-v3', 'system-ipv4-rfc1918', 'system-ipv4-stable-90d', 'system-ipv4-stable-1d', 'cgn', 'system-ipv4-capable', 'ipv4', 'nat', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'ftth'}",TR,39.5695,26.9595,20240209,https://atlas.ripe.net/api/v2/probes/28545/,Connected,AS
234,4153,41.177.109.244,,36874.0,,41.177.64.0/18,,False,True,1,1706620952,1357241414.0,329034616,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-v2', 'ups', 'nat', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'ftth'}",ZA,-34.0215,18.4795,20240209,https://atlas.ripe.net/api/v2/probes/4153/,Connected,AF
235,1000927,103.38.202.77,2001:df7:0:5367:5516:973f:f908:877d,59162.0,59162.0,103.38.202.0/24,2001:df7::/48,False,True,1,1706985675,1598035848.0,64332464,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'system-software', 'ftth', 'system-resolves-a-correctly', 'ipv4', 'raspberry-pi', 'system-ipv4-stable-30d', 'home', 'ipv6', 'isp', 'system-ipv4-stable-1d', 'system-ipv4-rfc1918', 'system-ipv6-stable-30d', 'system-ipv6-works', 'system-ipv4-works', 'fibre', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d', 'dual-stack'}",IN,27.1805,78.0085,20240209,https://atlas.ripe.net/api/v2/probes/1000927/,Connected,AS
236,1000023,159.146.31.90,2a02:ff0:c0a:b3fa:b04:d76c:f5cd:da2c,12735.0,12735.0,159.146.31.0/24,2a02:ff0:c0a::/48,False,True,1,1707517254,1572645265.0,132694981,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'system-software', 'ftth', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'ipv4', 'system-ipv4-stable-30d', 'home', 'ipv6', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-works', 'nat', 'system-ipv4-works', 'fibre', 'system-resolves-aaaa-correctly', 'dual-stack'}",TR,39.9885,32.8185,20240209,https://atlas.ripe.net/api/v2/probes/1000023/,Connected,AS
237,19082,,,5650.0,,47.160.0.0/18,,False,False,1,1707408475,1429926746.0,255411780,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-v3', 'system-ipv4-stable-90d', 'iwantbcp38compliancetesting', 'system-ipv4-stable-1d', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'ipv4', 'native-ipv4', 'nat', 'system-ipv4-works', 'system-ipv4-stable-30d', 'fios', 'home'}",US,37.5485,-122.2685,20240209,https://atlas.ripe.net/api/v2/probes/19082/,Connected,NA
238,21811,,,7642.0,,123.176.28.0/23,,False,False,1,1707320667,1447158813.0,225378776,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-v3', 'system-ipv4-stable-90d', 'native-ipv6', 'system-ipv4-stable-1d', 'ipv6', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'ipv4', 'nat', 'dual-stack', 'native-ipv4', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'ftth'}",MV,4.1675,73.5075,20240209,https://atlas.ripe.net/api/v2/probes/21811/,Connected,AS
239,62684,217.178.128.106,,55391.0,,217.178.128.0/18,,False,True,1,1707529296,1668569218.0,35152378,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-v5', 'ipv4', 'ds-lite', 'nat', 'lte', 'pppoe', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'ftth', 'multihomed'}",JP,35.5795,139.7115,20240209,https://atlas.ripe.net/api/v2/probes/62684/,Connected,AS
